Sample in Buffer,Sample in Window,TRIGGER,ctime400[23:0],tdc_dvalid_1[0:0],tdc_dvalid[1:1],fine_time_0[7:0],fine_time_1[7:0]
0,0,1,a063e0,1,1,79,89
1,1,0,a06570,1,1,79,89
2,2,0,a06700,1,1,7a,89
3,3,0,a06890,1,1,79,89
4,4,0,a06a20,1,1,7a,8b
5,5,0,a06bb0,1,1,7a,8b
6,6,0,a06d40,1,1,7d,8b
7,7,0,a06ed0,1,1,7c,8d
8,8,0,a07060,1,1,7d,8b
9,9,0,a071f0,1,1,7d,8d
10,10,0,a07380,1,1,7d,8e
11,11,0,a07510,1,1,7d,8d
12,12,0,a076a0,1,1,7d,8e
13,13,0,a07830,1,1,7f,90
14,14,0,a079c0,1,1,7f,90
15,15,0,a07b50,1,1,7e,8f
16,16,0,a07ce0,1,1,7e,8e
17,17,0,a07e70,1,1,7f,90
18,18,0,a08000,1,1,80,91
19,19,0,a08190,1,1,82,91
20,20,0,a08320,1,1,80,90
21,21,0,a084b0,1,1,82,91
22,22,0,a08640,1,1,82,91
23,23,0,a087d0,1,1,82,91
24,24,0,a08960,1,1,82,91
25,25,0,a08af0,1,1,82,91
26,26,0,a08c80,1,1,83,92
27,27,0,a08e10,1,1,83,92
28,28,0,a08fa0,1,1,85,92
29,29,0,a09130,1,1,85,93
30,30,0,a092c0,1,1,85,95
31,31,0,a09450,1,1,85,93
32,32,0,a095e0,1,1,85,95
33,33,0,a09770,1,1,86,95
34,34,0,a09900,1,1,86,95
35,35,0,a09a90,1,1,85,95
36,36,0,a09c20,1,1,86,95
37,37,0,a09db0,1,1,86,96
38,38,0,a09f40,1,1,85,95
39,39,0,a0a0d0,1,1,86,96
40,40,0,a0a260,1,1,88,96
41,41,0,a0a3f0,1,1,88,98
42,42,0,a0a580,1,1,88,99
43,43,0,a0a710,1,1,88,97
44,44,0,a0a8a0,1,1,88,98
45,45,0,a0aa30,1,1,88,99
46,46,0,a0abc0,1,1,88,99
47,47,0,a0ad50,1,1,89,9a
48,48,0,a0aee0,1,1,89,9a
49,49,0,a0b070,1,1,89,9a
50,50,0,a0b200,1,1,89,9a
51,51,0,a0b390,1,1,89,9c
52,52,0,a0b520,1,1,89,9a
53,53,0,a0b6b0,1,1,89,9d
54,54,0,a0b840,1,1,8c,9d
55,55,0,a0b9d0,1,1,8b,9d
56,56,0,a0bb60,1,1,8b,9d
57,57,0,a0bcf0,1,1,8c,9d
58,58,0,a0be80,1,1,8c,9d
59,59,0,a0c010,1,0,8d,9e
60,60,0,a0c1a0,1,1,8c,9d
61,61,0,a0c330,1,0,8d,9e
62,62,0,a0c4c0,1,0,8d,9e
63,63,0,a0c650,1,0,8e,9e
64,64,0,a0c7e0,1,0,8f,9e
65,65,0,a0c970,1,0,8e,9e
66,66,0,a0cb00,1,0,8e,9e
67,67,0,a0cc90,1,0,91,a1
